page_id,model,quant,schema_keys,schema_complexity,f1,precision,recall,exact_match,json_valid,schema_valid,hallucination_rate,tokens_in,latency_s,model_size_gb
1650442,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,2877,2.85,5.99
1630291,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3607,3.54,5.99
1302873,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3791,15.33,5.99
1082081,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3495,3.36,5.99
1003846,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3638,3.55,5.99
1044902,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3808,3.79,5.99
4579072,llama-3.2-3b,f16,16,46.4,0.0,0.0,0.0,0,0,0,0.0,3597,3.79,5.99
1640388,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3070,41.51,5.99
1181590,llama-3.2-3b,f16,26,79.5,0.0,0.0,0.0,0,0,0,0.0,3799,3.94,5.99
2909187,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,2632,2.58,5.99
4578020,llama-3.2-3b,f16,25,77.1,0.0,0.0,0.0,0,0,0,0.0,4000,4.2,5.99
188459,llama-3.2-3b,f16,27,79.69999999999999,0.0,0.0,0.0,0,0,0,0.0,447,12.55,5.99
1801116,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3084,41.12,5.99
1799626,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,4061,5.33,5.99
4517880,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3770,3.69,5.99
3618364,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3581,3.51,5.99
3610260,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,559,8.09,5.99
1000931,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3086,7.86,5.99
